State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Madera,1,0,0,0,0,1,0,0,0,
,,Orange,1,1,1,1,0,0,2,2,0,
,,Placer,1,0,1,0,0,0,0,2,0,
,,Riverside,11,2,1,1,0,3,5,5,2,
,,Sacramento,6,1,1,2,0,2,3,2,3,
,,San Bernardino,4,0,0,0,0,0,0,4,0,
,,San Diego,7,1,4,0,0,0,5,4,3,
,,San Luis Obispo,1,0,0,0,0,0,0,1,0,
,,Santa Barbara,1,2,0,0,0,1,0,1,1,
,,Santa Clara,1,0,0,0,0,0,0,1,0,
,,Santa Cruz,0,0,0,1,0,1,0,0,0,
,,Shasta,1,0,0,0,0,1,0,0,0,
,,Solano,1,0,0,0,0,0,1,0,0,
,,Stanislaus,0,0,1,0,0,1,0,0,0,
,,Sutter,0,1,0,0,0,0,0,0,1,
,,Ventura,2,1,0,1,0,1,2,1,0,
,,Yuba,0,0,1,0,0,0,0,1,0,
,Nonmetropolitan Counties,,5,0,2,0,0,,,,,
,,Amador,2,0,1,0,0,1,1,1,0,
,,Humboldt,1,0,1,0,0,0,1,0,1,
,,Lake,1,0,0,0,0,0,0,1,0,
,,Mendocino,1,0,0,0,0,0,0,0,1,
,Other Agencies,,4,0,2,1,0,,,,,
,,Department of Parks and Recreation:,,,,,,,,,,
,,Gold Fields District,1,0,0,0,0,0,0,1,0,
,,San Luis Obispo Coast,1,0,0,0,0,0,1,0,0,
,,Los Angeles Transportation Services Bureau,1,0,1,0,0,1,0,0,1,
,,Port of San Diego Harbor,0,0,0,1,0,0,0,1,0,
,,San Francisco Bay Area Rapid Transit:,,,,,,,,,,
,,Contra Costa County,1,0,0,0,0,0,1,0,0,
,,San Francisco County,0,0,1,0,0,0,0,1,0,
COLORADO,Total,,110,16,28,51,3,,,,,
,Cities,,94,13,19,39,3,,,,,
,,Arvada,0,1,1,0,0,2,0,0,0,"107,943"
,,Aspen,1,0,0,0,0,0,1,0,0,"5,897"
,,Aurora,3,2,0,1,0,1,3,2,0,"324,014"
,,Basalt,0,0,0,1,0,1,0,0,0,"3,304"
,,Berthoud,0,0,1,0,0,1,0,0,0,"5,477"
,,Boulder,3,1,0,1,0,0,3,1,1,"100,035"
,,Broomfield,0,1,0,0,0,0,1,0,0,"56,991"
,,Canon City,2,0,0,1,0,2,1,0,0,"15,925"
,,Castle Rock,1,0,0,0,0,1,0,0,0,"48,287"
,,Centennial,1,1,0,1,0,0,1,2,0,"99,385"
,,Colorado Springs,16,0,4,3,0,3,7,9,4,"401,626"
,,Commerce City,0,0,1,0,0,1,0,0,0,"45,914"
,,Craig,1,0,0,1,0,0,0,1,1,"9,250"
,,Denver,36,5,9,9,2,17,11,24,9,"604,680"
,,Eaton,0,0,0,1,0,1,0,0,0,"4,415"
,,Englewood,1,0,0,0,0,0,0,1,0,"32,750"
,,Estes Park,2,0,0,0,0,0,0,1,1,"6,539"
,,Fort Collins,2,0,0,6,0,1,3,3,1,"138,487"
,,Fort Morgan,2,0,0,0,0,0,1,1,0,"10,485"
,,Fountain,1,0,0,1,0,0,1,1,0,"20,205"
,,Fruita,0,0,0,1,0,0,0,0,1,"7,501"
,,Glenwood Springs,0,0,0,1,0,0,0,1,0,"9,198"
,,Grand Junction,1,0,0,0,0,0,1,0,0,"50,195"
,,Greeley,1,0,0,2,0,1,0,1,1,"93,070"
,,Gunnison,1,0,0,0,0,0,1,0,0,"5,468"
,,Lafayette,1,0,0,0,0,0,0,0,1,"25,267"
,,Lakewood,0,0,1,0,0,1,0,0,0,"140,618"
,,Leadville,1,0,0,0,0,0,1,0,0,"2,736"
,,Littleton,0,0,0,1,0,0,0,0,1,"40,815"
,,Lone Tree,2,0,0,1,0,1,2,0,0,"9,668"
,,Longmont3,3,1,1,3,0,1,3,2,2,"87,611"
,,Louisville,1,0,1,0,0,1,1,0,0,"19,147"
,,Loveland,2,0,0,2,0,0,1,1,2,"67,324"
,,Montrose,1,0,0,0,0,0,0,1,0,"18,651"
,,Mount Crested Butte,0,0,0,1,0,0,0,1,0,864
,,Northglenn,2,0,0,0,0,2,0,0,0,"33,849"
,,Pueblo,2,1,0,0,1,0,1,2,1,"105,271"
,,Steamboat Springs,1,0,0,1,0,0,0,2,0,"9,560"
,,Trinidad,2,0,0,0,0,0,0,0,2,"9,125"
,,Westminster,1,0,0,0,0,0,1,0,0,"107,705"
,Universities and Colleges,,1,1,0,1,0,,,,,
,,"Colorado State University, Fort Collins",0,1,0,1,0,0,2,0,0,"28,882"
,,"University of Colorado, Boulder",1,0,0,0,0,0,0,0,1,"32,469"
,Metropolitan Counties,,11,2,8,10,0,,,,,
,,Adams,3,0,1,0,0,1,1,1,1,
,,Arapahoe,1,0,3,1,0,1,2,1,1,
,,Douglas,2,0,2,3,0,0,2,4,1,
,,Jefferson,0,0,1,0,0,0,1,0,0,
,,Larimer,3,1,1,3,0,0,3,3,2,
,,Mesa,0,0,0,2,0,1,0,1,0,
,,Park,1,0,0,0,0,0,1,0,0,
,,Weld,1,1,0,1,0,1,1,1,0,
,Nonmetropolitan Counties,,4,0,1,1,0,,,,,
,,Bent,1,0,0,0,0,0,1,0,0,
,,Chaffee,0,0,1,0,0,0,1,0,0,
,,Custer,1,0,0,0,0,0,0,1,0,
,,Montrose,0,0,0,1,0,0,0,1,0,
,,Summit,2,0,0,0,0,1,0,0,1,
CONNECTICUT,Total,,104,43,28,22,2,,,,,
,Cities,,96,39,26,18,2,,,,,
,,Bridgeport,1,2,0,3,0,0,5,0,1,"136,049"
,,Bristol,2,1,1,0,0,1,2,1,0,"60,998"
,,Canton,1,0,0,0,0,0,0,1,0,"10,253"
,,Cheshire,4,0,1,0,0,0,0,1,4,"29,120"
,,Clinton,0,0,1,0,0,0,0,0,1,"13,602"
,,Coventry,11,3,0,1,0,0,13,2,0,"12,286"
,,Danbury,1,0,0,1,0,0,1,0,1,"79,729"
,,Derby,0,1,0,0,0,0,1,0,0,"12,392"
,,Easton,0,1,0,0,0,1,0,0,0,"7,344"
,,Enfield,2,0,0,0,0,1,0,1,0,"44,857"
,,Farmington,2,0,1,0,0,0,1,0,2,"25,278"
,,Glastonbury,0,0,1,0,0,0,0,0,1,"33,411"
,,Greenwich,0,2,0,0,0,1,0,1,0,"62,018"
,,Groton Town,2,0,0,1,0,0,0,2,1,"29,105"
,,Guilford,0,0,1,0,0,0,1,0,0,"22,506"
,,Hartford,0,1,4,0,0,0,2,0,3,"124,049"
,,Madison,1,0,0,0,0,0,0,0,1,"18,900"
,,Manchester,22,4,3,5,1,3,17,9,6,"56,566"
,,Meriden,3,1,0,0,0,1,1,1,1,"59,289"
,,Middlebury,1,0,0,0,0,0,0,1,0,"7,447"
,,Middletown,2,0,0,0,0,0,1,1,0,"48,299"
,,Milford,3,2,0,0,0,1,3,1,0,"56,310"
,,Naugatuck,2,2,0,0,0,1,2,0,1,"32,033"
,,New Britain,2,1,0,0,0,0,1,2,0,"70,368"
,,New Haven,10,1,5,0,0,3,8,3,2,"123,659"
,,Newington,0,0,0,1,0,0,1,0,0,"29,739"
,,New London,0,2,0,0,0,0,0,1,1,"25,859"
,,Newtown,1,1,0,1,0,2,0,1,0,"26,924"
,,Norwalk,3,0,1,1,0,1,1,2,1,"83,198"
,,Norwich,0,0,1,1,0,1,1,0,0,"36,418"
,,Shelton,1,0,1,0,0,0,0,0,2,"40,195"
,,Simsbury,1,1,0,0,0,1,0,1,0,"23,654"
,,Southington,0,1,1,0,0,0,1,0,1,"42,523"
,,Stratford,3,0,1,0,0,1,0,2,1,"48,726"
,,Torrington,3,1,0,0,0,1,0,3,0,"35,321"
,,Wallingford,2,3,0,0,0,0,0,0,5,"45,059"
,,Waterford,0,1,0,0,1,0,1,0,1,"18,808"
