State,specifier,agency,race,religion,sexualOrientation,disability,gender
,,Gainesville,0,1,0,0,0,0,0,0,1,0,"132,777"
,,Hollywood,0,0,1,0,0,0,1,0,0,0,"153,893"
,,Homestead,1,1,2,0,0,0,0,1,,3,"69,276"
,,Jacksonville,3,2,1,0,0,0,1,0,2,3,"894,638"
,,Key Biscayne,0,0,1,0,0,0,1,0,0,0,"13,127"
,,Key West,0,0,1,0,0,0,1,0,0,0,"27,399"
,,Lake City,1,0,0,0,0,0,1,0,0,0,"12,326"
,,Largo,1,2,0,0,0,0,2,0,1,,"83,728"
,,Lauderdale-by-the-Sea,1,0,0,0,0,0,,,1,,"6,589"
,,Leesburg,1,0,0,0,0,0,1,0,0,0,"22,763"
